Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Troy Brown (14009708),Troy Brown,14009708,SG/SF/F/G/UTIL,4800,WAS@PHI 12/21/2019 07:00PM ET,WAS,20.74
PG,Elfrid Payton (14009713),Elfrid Payton,14009713,PG/G/UTIL,4700,MIL@NY 12/21/2019 07:30PM ET,NY,22.60
PG,Ish Smith (14009721),Ish Smith,14009721,PG/G/UTIL,4700,WAS@PHI 12/21/2019 07:00PM ET,WAS,22.44
SG/SF,Mikal Bridges (14009716),Mikal Bridges,14009716,SG/SF/F/G/UTIL,4700,HOU@PHO 12/21/2019 09:00PM ET,PHO,16.93
SF/PF,Jake Layman (14009724),Jake Layman,14009724,SF/PF/F/UTIL,4600,MIN@POR 12/21/2019 10:00PM ET,MIN,18.52
SG/SF,Kent Bazemore (14009728),Kent Bazemore,14009728,SG/SF/F/G/UTIL,4600,MIN@POR 12/21/2019 10:00PM ET,POR,18.42
C,Gorgui Dieng (14009760),Gorgui Dieng,14009760,C/UTIL,4600,MIN@POR 12/21/2019 10:00PM ET,MIN,15.21
C,Aron Baynes (14009733),Aron Baynes,14009733,C/UTIL,4600,HOU@PHO 12/21/2019 09:00PM ET,PHO,25.64
PF/C,P.J. Tucker (14009735),P.J. Tucker,14009735,PF/C/F/UTIL,4500,HOU@PHO 12/21/2019 09:00PM ET,HOU,25.26
PG/SG,George Hill (14009741),George Hill,14009741,PG/SG/G/UTIL,4400,MIL@NY 12/21/2019 07:30PM ET,MIL,20.66
C,Brook Lopez (14009745),Brook Lopez,14009745,C/UTIL,4400,MIL@NY 12/21/2019 07:30PM ET,MIL,24.44
C,Ian Mahinmi (14009739),Ian Mahinmi,14009739,C/UTIL,4400,WAS@PHI 12/21/2019 07:00PM ET,WAS,18.46
PG/SG,De'Anthony Melton (14009747),De'Anthony Melton,14009747,PG/SG/G/UTIL,4400,SAC@MEM 12/21/2019 08:00PM ET,MEM,18
PF/C,Zach Collins (14009751),Zach Collins,14009751,PF/C/F/UTIL,4300,MIN@POR 12/21/2019 10:00PM ET,POR,17.83
SG/SF,Ben McLemore (14009755),Ben McLemore,14009755,SG/SF/F/G/UTIL,4300,HOU@PHO 12/21/2019 09:00PM ET,HOU,17.80
SF/PF,Rudy Gay (14009762),Rudy Gay,14009762,SF/PF/F/UTIL,4200,LAC@SA 12/21/2019 08:30PM ET,SA,23.32
PG/SG,Patty Mills (14009766),Patty Mills,14009766,PG/SG/G/UTIL,4200,LAC@SA 12/21/2019 08:30PM ET,SA,19.82
SF/PF,JaMychal Green (14009770),JaMychal Green,14009770,SF/PF/F/UTIL,4200,LAC@SA 12/21/2019 08:30PM ET,LAC,18.56
SG/SF,Josh Okogie (14009774),Josh Okogie,14009774,SG/SF/F/G/UTIL,4100,MIN@POR 12/21/2019 10:00PM ET,MIN,19.23
PG/SG,Langston Galloway (14009783),Langston Galloway,14009783,PG/SG/G/UTIL,4100,CHI@DET 12/21/2019 07:00PM ET,DET,18.82
SF/PF,Moe Harkless (14009779),Moe Harkless,14009779,SF/PF/F/UTIL,4100,LAC@SA 12/21/2019 08:30PM ET,LAC,15.22
SF/PF,Thaddeus Young (14009791),Thaddeus Young,14009791,SF/PF/F/UTIL,4000,CHI@DET 12/21/2019 07:00PM ET,CHI,19.54
PG/SG,Derrick White (14009787),Derrick White,14009787,PG/SG/G/UTIL,4000,LAC@SA 12/21/2019 08:30PM ET,SA,19.75
C,Ivica Zubac (14009795),Ivica Zubac,14009795,C/UTIL,4000,LAC@SA 12/21/2019 08:30PM ET,LAC,19.36
SG/SF,Sterling Brown (14009805),Sterling Brown,14009805,SG/SF/F/G/UTIL,3900,MIL@NY 12/21/2019 07:30PM ET,MIL,14.48
SF/PF,Admiral Schofield (14009801),Admiral Schofield,14009801,SF/PF/F/UTIL,3900,WAS@PHI 12/21/2019 07:00PM ET,WAS,7.73
PG/SG,Reggie Jackson (14009797),Reggie Jackson,14009797,PG/SG/G/UTIL,3900,CHI@DET 12/21/2019 07:00PM ET,DET,14.12
SF/PF,Kevin Knox (14009819),Kevin Knox,14009819,SF/PF/F/UTIL,3800,MIL@NY 12/21/2019 07:30PM ET,NY,15.46
SG/SF,Denzel Valentine (14009814),Denzel Valentine,14009814,SG/SF/F/G/UTIL,3800,CHI@DET 12/21/2019 07:00PM ET,CHI,14.56
SF/PF,Danuel House Jr. (14009810),Danuel House Jr.,14009810,SF/PF/F/UTIL,3800,HOU@PHO 12/21/2019 09:00PM ET,HOU,21.86
PG/SG,Anfernee Simons (14009829),Anfernee Simons,14009829,PG/SG/G/UTIL,3700,MIN@POR 12/21/2019 10:00PM ET,POR,15.63
C,Anzejs Pasecniks (14009823),Anzejs Pasecniks,14009823,C/UTIL,3700,WAS@PHI 12/21/2019 07:00PM ET,WAS,12.75
SF/PF,Cameron Johnson (14009825),Cameron Johnson,14009825,SF/PF/F/UTIL,3700,HOU@PHO 12/21/2019 09:00PM ET,PHO,17.01
PG/SG,Shabazz Napier (14009850),Shabazz Napier,14009850,PG/SG/G/UTIL,3600,MIN@POR 12/21/2019 10:00PM ET,MIN,16.43
PG/SG,Jordan McRae (14009837),Jordan McRae,14009837,PG/SG/G/UTIL,3600,WAS@PHI 12/21/2019 07:00PM ET,WAS,17.86
PG/SG,Coby White (14009841),Coby White,14009841,PG/SG/G/UTIL,3600,CHI@DET 12/21/2019 07:00PM ET,CHI,20.84
SG/SF,Landry Shamet (14009845),Landry Shamet,14009845,SG/SF/F/G/UTIL,3600,LAC@SA 12/21/2019 08:30PM ET,LAC,15.64
PG/SG,Grayson Allen (14009833),Grayson Allen,14009833,PG/SG/G/UTIL,3600,SAC@MEM 12/21/2019 08:00PM ET,MEM,14.66
C,Jakob Poeltl (14009854),Jakob Poeltl,14009854,C/UTIL,3500,LAC@SA 12/21/2019 08:30PM ET,SA,19.24
PG/SG,Bryn Forbes (14009856),Bryn Forbes,14009856,PG/SG/G/UTIL,3500,LAC@SA 12/21/2019 08:30PM ET,SA,19.38
SG/SF,Wesley Matthews (14009865),Wesley Matthews,14009865,SG/SF/F/G/UTIL,3400,MIL@NY 12/21/2019 07:30PM ET,MIL,15.05
PG/SG,Jarrett Culver (14009874),Jarrett Culver,14009874,PG/SG/G/UTIL,3400,MIN@POR 12/21/2019 10:00PM ET,MIN,18.39
SF/PF,Mike Scott (14009878),Mike Scott,14009878,SF/PF/F/UTIL,3400,WAS@PHI 12/21/2019 07:00PM ET,PHI,13.07
SG/SF,Tony Snell (14009860),Tony Snell,14009860,SG/SF/F/G/UTIL,3400,CHI@DET 12/21/2019 07:00PM ET,DET,14.5
SF/PF,Trevor Ariza (14009870),Trevor Ariza,14009870,SF/PF/F/UTIL,3400,SAC@MEM 12/21/2019 08:00PM ET,SAC,14.52
PG,Dennis Smith Jr. (14009882),Dennis Smith Jr.,14009882,PG/G/UTIL,3300,MIL@NY 12/21/2019 07:30PM ET,NY,13.68
PF/C,Ersan Ilyasova (14009888),Ersan Ilyasova,14009888,PF/C/F/UTIL,3300,MIL@NY 12/21/2019 07:30PM ET,MIL,16.86
SG/SF,Damyean Dotson (14009905),Damyean Dotson,14009905,SG/SF/F/G/UTIL,3300,MIL@NY 12/21/2019 07:30PM ET,NY,11.44
SF/PF,Treveon Graham (14009901),Treveon Graham,14009901,SF/PF/F/UTIL,3300,MIN@POR 12/21/2019 10:00PM ET,MIN,12.07
SF,Isaac Bonga (14009885),Isaac Bonga,14009885,SF/F/UTIL,3300,WAS@PHI 12/21/2019 07:00PM ET,WAS,10.25
SG/SF,Matisse Thybulle (14009896),Matisse Thybulle,14009896,SG/SF/F/G/UTIL,3300,WAS@PHI 12/21/2019 07:00PM ET,PHI,12.34
SG/SF,Furkan Korkmaz (14009922),Furkan Korkmaz,14009922,SG/SF/F/G/UTIL,3300,WAS@PHI 12/21/2019 07:00PM ET,PHI,13.37
PG/SG,Ryan Arcidiacono (14009918),Ryan Arcidiacono,14009918,PG/SG/G/UTIL,3300,CHI@DET 12/21/2019 07:00PM ET,CHI,9.82
PG/SG,Cory Joseph (14009892),Cory Joseph,14009892,PG/SG/G/UTIL,3300,SAC@MEM 12/21/2019 08:00PM ET,SAC,17.20
SF/PF,Solomon Hill (14009910),Solomon Hill,14009910,SF/PF/F/UTIL,3300,SAC@MEM 12/21/2019 08:00PM ET,MEM,15.5
